Player,Position,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-20
A.J. Brown,WR,29.7,29.8,29.8,29.6,29.6,29.6,29.5,29.5,29.5,29.4,29.3,29.0,29.2,29.6,29.7,29.6,29.5,29.4,29.3,29.2,29.1,29.1,29.1,29.1,28.9,29.0,29.0,29.0,29.1
AJ Barner,TE,171.9,173.4,174.3,174.3,174.4,174.5,174.6,174.3,173.9,173.8,174.1,174.9,175.5,175.6,176.1,176.6,177.2,177.4,177.0,177.2,177.1,176.9,176.5,176.3,176.3,176.4,176.3,176.6,176.8
AJ Dillon,RB,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Aaron Anderson,WR,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Aaron Jones,RB,144.8,143.1,142.5,141.7,140.6,139.7,139.2,138.6,138.1,137.4,136.6,135.4,135.2,134.9,134.4,134.3,134.2,133.4,133.3,133.0,132.2,131.8,131.5,131.0,130.6,130.8,130.8,130.4,130.3
Aaron Rodgers,QB,210.3,210.5,210.7,210.3,209.5,209.7,208.8,206.8,205.5,203.9,202.1,200.8,200.9,201.2,201.2,202.1,200.6,199.4,199.1,198.2,197.9,198.1,198.3,198.2,198.9,198.9,199.2,199.2,199.0
Adam Randall,RB,236.6,236.8,236.7,237.0,236.6,236.4,236.3,236.8,237.2,237.2,237.3,237.4,237.8,237.9,238.0,237.8,238.0,238.4,238.1,237.9,238.2,238.5,238.4,238.3,238.5,238.7,238.9,238.9,239.1
Adam Trautman,TE,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Adonai Mitchell,WR,171.6,172.2,172.2,171.7,170.7,170.0,169.9,169.9,169.9,169.9,170.2,170.4,170.4,170.4,170.6,170.7,171.2,171.9,171.7,171.6,171.3,171.4,171.6,172.0,172.4,173.4,173.8,174.3,174.9
Ahmani Marshall,RB,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Alec Pierce,WR,70.3,70.2,70.4,70.1,69.9,69.6,69.5,69.3,68.9,68.8,68.9,69.0,68.9,68.7,68.4,67.8,67.5,67.5,67.6,68.0,68.1,67.8,67.6,67.5,67.4,67.0,67.2,67.2,67.2
Alexander Mattison,RB,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
